swimmer,team,time,scaled,meet_id,event,date,taper,snapshot
228451,184,123.06,-0.925042112639821,119953,F2200Y,1547164800,2,2196655255
228451,184,122.39,-1.069358375094933,119954,F2200Y,1547251200,2,2196655255
228451,184,122.8,-0.9810454383686712,119957,F2200Y,1548460800,2,2196655255
228451,184,117.11,-2.206656682203873,142919,F2200Y,1550880000,1,2196655255
228451,184,117.74,-2.070956316014739,142919,F2200Y,1550880000,1,2196655255
228451,184,60.13,0.677256038720276,119948,F4100Y,1538179200,2,2196655255
228451,184,59.65,0.4272873157192265,119950,F4100Y,1539993600,2,2196655255
228451,184,57.96,-0.4528108965136265,136124,F4100Y,1542412800,1,2196655255
228451,184,57.58,-0.6507028022227903,136124,F4100Y,1542412800,1,2196655255
228451,184,58.23,-0.31220348982553947,143422,F4100Y,1551484800,1,2196655255
228451,184,129.62,-0.36250129054713864,132028,F5200Y,1539388800,2,2196655255
228451,184,131.91,0.1662747062501273,119951,F5200Y,1541203200,2,2196655255
228451,184,125.42,-1.3323087955901631,136124,F5200Y,1542326400,1,2196655255
228451,184,126.76,-1.022894020171674,136124,F5200Y,1542326400,1,2196655255
228451,184,128.63,-0.5910987738787107,119954,F5200Y,1547251200,2,2196655255
228451,184,128.14,-0.7042429828003989,119957,F5200Y,1548460800,2,2196655255
228451,184,123.95,-1.6717414223552212,142919,F5200Y,1550707200,1,2196655255
228451,184,122.27,-2.0596644243724325,142919,F5200Y,1550707200,1,2196655255
402879,184,122.06,1.2882965399041897,136124,F1200Y,1542412800,1,2196655255
402879,184,124.56,1.8031675829276763,138360,F1200Y,1545264000,2,2196655255
402879,184,137.5,2.689301680168399,132028,F4200Y,1539388800,2,2196655255
402879,184,133.4,1.4132372553196584,136124,F4200Y,1542499200,1,2196655255
402879,184,133.65,1.4910460617128742,119953,F4200Y,1547164800,2,2196655255
402879,184,136.28,2.309594704969505,119954,F4200Y,1547251200,2,2196655255
402879,184,134.41,1.7275848331482482,119957,F4200Y,1548460800,2,2196655255
402879,184,131.12,0.703620941013528,143422,F4200Y,1551571200,1,2196655255
402879,184,130.63,0.5511156804828219,143422,F4200Y,1551571200,1,2196655255
402879,184,26.9,2.642653655297854,119948,F150Y,1538179200,2,2196655255
402879,184,57.05,1.7383284531763148,119951,F1100Y,1541203200,2,2196655255
402879,184,58.08,2.280917328168798,119957,F1100Y,1548460800,2,2196655255
402879,184,337.02,2.921447259443156,119948,F1500Y,1538179200,2,2196655255
402879,184,320.76,1.073548217150123,136124,F1500Y,1542326400,1,2196655255
402879,184,320.38,1.0303623846734105,119953,F1500Y,1547164800,2,2196655255
402879,184,315.22,0.44394423841068,141362,F1500Y,1549065600,2,2196655255
402879,184,310.44,-0.09928807537534456,143422,F1500Y,1551398400,1,2196655255
402879,184,141.87,2.4661039324950145,132028,F5200Y,1539388800,2,2196655255
256775,184,73.32,2.109522852174977,119948,F3100Y,1538179200,2,2196655255
256775,184,70.72,0.8256457268215469,132028,F3100Y,1539388800,2,2196655255
256775,184,71.17,1.0478552292865655,119950,F3100Y,1539993600,2,2196655255
256775,184,70.54,0.7367619258355437,119951,F3100Y,1541203200,2,2196655255
256775,184,69.28,0.11457531893349276,136124,F3100Y,1542412800,1,2196655255
256775,184,68.42,-0.3100917302218733,136124,F3100Y,1542412800,1,2196655255
256775,184,70.91,0.9194675167512196,138360,F3100Y,1545264000,2,2196655255
256775,184,70.79,0.8602116494272198,119953,F3100Y,1547164800,2,2196655255
256775,184,69.27,0.1096373299898232,119954,F3100Y,1547251200,2,2196655255
256775,184,69.48,0.21333509780683516,119957,F3100Y,1548460800,2,2196655255
256775,184,68.47,-0.28540178550353945,142919,F3100Y,1550793600,1,2196655255
